entity_id,entity_name,entity_type
761,解缙,人名
762,宋濂,人名
763,景濂,字号
764,潜溪,字号
765,浦江（今浙江浦江）,地名
766,刘基,人名
767,高启,人名
768,青田（今浙江青田）,地名
769,仲温,字号
770,南宫生,字号
771,长洲（今江苏苏州）,地名
772,孙克弘,人名
773,卢熊,人名
774,公武,字号
775,崑山（今江苏昆山）,地名
776,篆书,书体/印风
777,俞贞木,人名
778,有立,字号
779,立庵,字号
780,吴县（今江苏苏州）,地名
781,季迪,字号
782,槎轩、青丘子,字号
783,吴郡长洲（今江苏苏州）,地名
784,仲珩,字号
785,宋广,人名
786,沈粲,人名
787,昌裔,字号
788,河南南阳（一作唐县,地名
789,方孝孺,人名
790,希直、希古,字号
791,宁海（今浙江宁海）,地名
792,沈度,人名
793,民则,字号
794,自乐,字号
795,华亭（今上海松江）,地名
796,朱瞻基,人名
797,沈藻,人名
798,张电,人名
799,姜立纲,人名
800,民望,字号
801,简庵,字号
802,胡俨,人名
803,若思,字号
804,颐庵,字号
805,江西南昌,地名
806,王绂,人名
807,孟端,字号
808,友,字号
809,九龙山人,字号
810,青城山人,字号
811,杨士奇,人名
812,寓,字号
813,泰和（今江西泰和）,地名
814,夏元吉,人名
815,维喆,字号
816,湖南湘阴,地名
817,大绅,字号
818,春雨,字号
819,魏骥,人名
820,仲房,字号
821,南斋,字号
822,浙江萧山,地名
823,柴车,人名
824,叔舆,字号
825,浙江江山,地名
826,杜琼,人名
827,用嘉,字号
828,江苏苏州,地名
829,于谦,人名
830,廷益,字号
831,朱瞻,字号
832,长春真人,字号
833,张绅,人名
834,士行,字号
835,仲绅,字号
836,云门山樵,字号
837,云门遗老,字号
838,山东济南,地名
839,陈璧,人名
840,文东,字号
841,谷阳生,字号
842,马治,人名
843,孝常,字号
844,聂大年,人名
845,寿卿,字号
846,徐有贞,人名
847,元玉,字号
848,天全,字号
849,刘珏,人名
850,廷美,字号
851,完庵,字号
852,商辂,人名
853,弘载,字号
854,素庭,字号
855,淳安（今浙江淳安）,地名
856,卞荣,人名
857,华伯,字号
858,江阴（今江苏江阴）,地名
859,姚绶,人名
860,公绶,字号
861,丹丘生,字号
862,穀庵子,字号
863,云东逸史,字号
864,浙江嘉兴,地名
865,张弼,人名
866,汝弼,字号
867,东海翁,字号
868,启南,字号
869,石田,字号
870,白石翁,字号
871,唐寅,人名
872,仇英,人名
873,陈献章,人名
874,公甫,字号
875,石斋,字号
876,石翁,字号
877,白沙先生,字号
878,广东新会,地名
879,茅笔字,流派
880,李应祯,人名
881,贞伯,字号
882,原博,字号
883,李东阳,人名
884,宾之,字号
885,西涯,字号
886,茶陵（今湖南茶陵）,地名
887,,字号
888,金陵（今南京）,地名
889,谢迁,人名
890,于乔,字号
891,余姚（今浙江余姚）,地名
892,王鏊,人名
893,济之,字号
894,守溪,字号
895,震泽先生,字号
896,文林,人名
897,宗儒,字号
898,杨循吉,人名
899,君谦,字号
900,多暇子,字号
901,希哲,字号
902,枝山,字号
903,枝山老樵,字号
904,枝指生,字号
905,徐祯卿,人名
906,黄姬水,人名
907,吴应卯,人名
908,邵宝,人名
909,国贤,字号
910,二泉,字号
911,钱福,人名
912,与谦,字号
913,鹤滩,字号
914,徐霖,人名
915,子仁,字号
916,子元,字号
917,九峰道人,字号
918,髯翁,字号
919,快园叟,字号
920,费宏,人名
921,子充,字号
922,江西铅山,地名
923,陈沂,人名
924,鲁南,字号
925,石亭,字号
926,小坡,字号
927,鄞（今浙江宁波）,地名
928,徵仲,字号
929,衡山居士,字号
930,文彭,人名
931,文嘉,人名
932,周天球,人名
933,陆师道,人名
934,居节,人名
935,伯虎,字号
936,子畏,字号
937,六如居士,字号
938,桃花庵,字号
939,逃禅仙史,字号
940,王守仁,人名
941,伯安,字号
942,阳明,字号
943,阳明山人,字号
944,阳明居士,字号
945,今浙江余姚,地名
946,陆深,人名
947,子渊,字号
948,俨山,字号
949,夏言,人名
950,公谨,字号
951,桂翁,字号
952,桂洲翁,字号
953,陈淳,人名
954,道复,字号
955,复甫,字号
956,白阳,字号
957,白阳山人,字号
958,苏州（今江苏苏州）,地名
959,徐渭,人名
960,林藻,人名
961,杨慎,人名
962,用修,字号
963,升庵,字号
964,四川新都,地名
965,沈仕,人名
966,懋学,字号
967,子登,字号
968,青门山人,字号
969,仁和（今浙江杭州）,地名
970,王守,人名
971,履约,字号
972,涵峰,字号
973,涵峰山人,字号
974,九华山人,字号
975,李怀琳,人名
976,丰坊,人名
977,存礼,字号
978,人翁,字号
979,南禺外史,字号
980,履仁,字号
981,履吉,字号
982,雅宜山人,字号
983,王问,人名
984,子裕,字号
985,仲山,字号
986,筮斋,字号
987,寿承,字号
988,三桥,字号
989,马愈,人名
990,抑之,字号
991,华发仙人,字号
992,马清痴,字号
993,嘉定（今属上海市）,地名
994,朱希周,人名
995,懋忠,字号
996,昆山（今江苏昆山）,地名
997,乔宇,人名
998,希大,字号
999,白岩,字号
1000,太原乐平（今山西昔阳）,地名
1001,凝清,字号
1002,仲藻,字号
1003,文光,字号
1004,宾山,字号
1005,上海,地名
1006,张骏,人名
1007,天骏,字号
1008,南山,字号
1009,张璧,人名
1010,崇象,字号
1011,阳峰,字号
1012,石首（今属湖北）,地名
1013,廷宪,字号
1014,东溪,字号
1015,浙江瑞安,地名
1016,蔡羽,人名
1017,九逵,字号
1018,九馗,字号
1019,林屋山人,字号
1020,詹僖,人名
1021,仲和,字号
1022,铁冠道人,字号
1023,四明（今浙江宁波）,地名
1024,休承,字号
1025,文水,字号
1026,文水道人,字号
1027,王穀祥,人名
1028,禄之,字号
1029,酉室,字号
1030,罗洪先,人名
1031,达夫,字号
1032,念庵,字号
1033,彭年,人名
1034,孔嘉,字号
1035,隆池,字号
1036,唐顺之,人名
1037,应德,字号
1038,义修,字号
1039,荆川,字号
1040,武进（今江苏常州）,地名
1041,莫如忠,人名
1042,子良,字号
1043,中江,字号
1044,草书,书体/印风
1045,淳父,字号
1046,志淳,字号
1047,圣长,字号
1048,观复子,字号
1049,王穉登,人名
1050,严讷,人名
1051,敏卿,字号
1052,养斋,字号
1053,江苏常熟,地名
1054,茅坤,人名
1055,顺甫,字号
1056,鹿门,字号
1057,归安（今浙江湖州）,地名
1058,俞允文,人名
1059,仲蔚,字号
1060,隶书,书体/印风
1061,公暇,字号
1062,幼海,字号
1063,六止生,字号
1064,群玉山樵,字号
1065,海瑞,人名
1066,汝贤,字号
1067,刚峰,字号
1068,琼山（今海南海口）,地名
1069,陈芹,人名
1070,子野,字号
1071,横厓,字号
1072,横道人,字号
1073,金陵（今江苏南京）,地名
1074,杨继盛,人名
1075,仲芳,字号
1076,椒山,字号
1077,河北容城,地名
1078,子传,字号
1079,元洲,字号
1080,五湖,字号
1081,文长,字号
1082,天池,字号
1083,青藤道人等,字号
1084,项元汴,人名
1085,子京,字号
1086,墨林居士,字号
1087,退密庵主人,字号
1088,惠泉山樵,字号
1089,鸳鸯湖长,字号
1090,王世贞,人名
1091,元美,字号
1092,凤洲,字号
1093,五湖长,字号
1094,弇州山长,字号
1095,江苏太仓,地名
1096,张凤翼,人名
1097,伯起,字号
1098,灵墟,字号
1099,张献翼,人名
1100,张燕翼,人名
1101,士贞,字号
1102,商谷,字号
1103,西昌逸士,字号
1104,允执,字号
1105,雪居,字号
1106,孙承恩,人名
1107,王锡爵,人名
1108,元驭,字号
1109,荆石,字号
1110,太仓（今江苏太仓）,地名
1111,伯穀,字号
1112,半偈长者,字号
1113,广长庵主,字号
1114,松坛道人,字号
1115,申时行,人名
1116,汝默,字号
1117,瑶泉,字号
1118,休休居士,字号
1119,苏庵主人,字号
1120,莫是龙,人名
1121,廷韩,字号
1122,云卿,字号
1123,秋水,字号
1124,后明,字号
1125,祝世禄,人名
1126,廷之,字号
1127,无功,字号
1128,江西德兴,地名
1129,陆应阳,人名
1130,古塘居士,字号
1131,片玉山人,字号
1132,平原村长,字号
1133,上海青浦,地名
1134,屠隆,人名
1135,长卿,字号
1136,纬真,字号
1137,赤水,字号
1138,鸿苞居士,字号
1139,德清,人名
1140,澄印,字号
1141,憨山,字号
1142,憨山道人,字号
1143,安徽全椒,地名
1144,严徵,人名
1145,道徵,字号
1146,天池,字号
1147,天池居士,字号
1148,丁搜宁生,字号
1149,丁云鹏,人名
1150,南羽,字号
1151,圣华居士,字号
1152,黄山老樵,字号
1153,休宁（今安徽休宁）,地名
1154,丁瓒,人名
1155,朱之蕃,人名
1156,元介,字号
1157,兰嵎,字号
1158,山东荏平,地名
1159,汤显祖,人名
1160,义仍,字号
1161,若士,字号
1162,若海,字号
1163,清远道人,字号
1164,俞安期,人名
1165,公临,字号
1166,羡长,字号
1167,吴江（今江苏吴江）,地名
1168,邢侗,人名
1169,子愿,字号
1170,来禽生,字号
1171,临邑（今山东临清）,地名
1172,米万钟,人名
1173,张瑞图,人名
1174,邹元,字号
1175,尔瞻,字号
1176,南皋,字号
1177,江西吉水,地名
1178,娄坚,人名
1179,子柔,字号
1180,唐时升,人名
1181,程嘉燧,人名
1182,玄宰,字号
1183,思白,字号
1184,思翁,字号
1185,香光,字号
1186,香光居士,字号
1187,普荷,人名
1188,祁豸佳,人名
1189,冒襄,人名
1190,查士标,人名
1191,查昇,人名
1192,玄烨,人名
1193,张照,人名
1194,铁保,人名
1195,陈继儒,人名
1196,仲醇,字号
1197,眉公,字号
1198,麋公,字号
1199,雪堂,字号
1200,白石樵,字号
